ticker,platform,n_obs,sigma_bs,mse_bs,ll_bs,aic_bs,bic_bs,qlike_bs,mse_heston,ll_heston,aic_heston,bic_heston,qlike_heston,mse_bates,ll_bates,aic_bates,bic_bates,qlike_bates,lr_statistic,p_value_jump,feller_heston,feller_bates,converged_heston,converged_bates,near_resolution_frac
0x19120414e0b7b170bb81ab518317f6926c2bb633167e4b11981ef7c078cea739,polymarket,56.0,0.7017340037110648,0.004519219,71.72309485807314,-141.4461897,-139.420838,0.009274285,0.001261786,107.44580128370676,-204.8916026,-194.7648441,0.035033197,0.001261786,107.4458012771475,-198.8916026,-182.688789,0.0350329758114928,0.0,1.0,True,True,True,True,0.0411764705882352
0x1e14c1e407a8aa7a727fadf74049b255a93f1c22f137d6a244ea64604b5b36d5,polymarket,64.0,0.7929198795436372,0.0343798660967553,17.037027437640738,-32.07405488,-29.91517179,0.081052431,0.029714585,21.703686976551868,-33.40737395,-22.61295854,0.1291321978910857,0.029714585,21.70368697655183,-27.40737395,-10.13630929,0.1291322062421798,0.0,1.0,True,True,True,True,0.052238806
0x29f8437fee9a3c972bcdc483874dc6f5192142a2158e999ace849dedb342d671,polymarket,69.0,0.790674049,0.0126150593152667,52.95704903420041,-103.9140981,-101.6799916,0.0170319979380079,0.002562516,107.9466537049785,-205.8933074,-194.7227749,0.095460819,0.002562516,107.9466537055836,-199.8933074,-182.0204554,0.095460723,1.210224809256033e-09,0.9999999999999888,True,True,True,True,0.047297297
0x4057c2528a3815d460f0c5889f52a914745b23400c4548804afee8f9c4a56ec3,polymarket,194.0,0.5591879376853062,0.004371529,251.69223096855396,-501.3844619,-498.1166038,0.0241915759872657,0.002246361,316.27497392255685,-622.5499478,-606.210657,0.2392658409146961,0.002246361,316.27497392273483,-616.5499478,-590.4070826,0.2392649314826928,3.559534889063798e-10,0.9999999999999982,True,True,True,True,0.0
0x5e9dcbf5748f0d4df34dc4795add11e59d529dbd08bd597966e8cb83a266565a,polymarket,41.0,2.1925920152355807,32.86528473884999,-129.7710268,261.54205367120267,263.2556257,0.3249026206409526,40.74712561704512,-134.6873919,279.3747838171257,287.94264415064725,0.8516114028936855,20.46365703143311,-120.0590788,256.1181576670372,269.82673420067164,9455.314414,29.25662615008855,1.9779041830551573e-06,True,False,True,True,0.1590909090909091
0x642926331d650ed2e4e1da2593f388cd803b4f283e09218fc1c5de90087b585c,polymarket,187.0,0.6514294406398349,0.013443936,137.5712331263531,-273.1424663,-269.9113576,0.0424032574603666,0.004451038,240.92526556360625,-471.8505311,-455.694988,0.367252856,0.004451038,240.9252655629364,-465.8505311,-440.0016622,0.3672509813859683,0.0,1.0,True,True,True,True,0.0
0x67a072e839762191a7931e405923110d52343ef6dc1d61cfc0720233951c03e4,polymarket,41.0,2.0634261282670034,44.317902560453895,-135.8999485,273.79989709598937,275.5134691626937,0.4878773810801717,49.41522601939676,-138.2578023,286.5156045131352,295.08346484665674,0.8611521569188267,30.11946523843969,-127.9843801,271.96876024957805,285.6773367832125,27539.68513538814,20.546844263557148,0.000130736,True,False,True,True,0.1428571428571428
0x95153ddd005326dc5dcadbeccc51ffad40e0fa9dac5bd18b242b42eed61d3a6c,polymarket,52.0,2.0287174435090423,17.230185310543277,-147.7980367,297.5960733,299.54731706264545,0.3037705298043007,21.706331986775755,-154.5524512,319.1049023536896,328.8611209465967,0.6399563629358405,8.531187240233033,-129.5224306,275.0448612948378,290.65481104348925,8693.521604300682,50.060041058851766,7.757381889927467e-11,True,False,True,True,0.1111111111111111
0x9876cd5626a39e33e073159b813199f48ee860c8279f67244ee085dc7a9f0b41,polymarket,32.0,2.443869034775004,66.97542410960784,-112.675245,227.35049005366196,228.8162259564617,0.5199982121335142,82.75612593466751,-116.4451537,242.8903073092502,250.21898682324883,1.4122275143271743,40.90210335793785,-104.7867288,225.5734576473677,237.29934486976552,54938.77114,23.31684966188249,3.468473901957184e-05,True,False,True,True,0.3529411764705882
0x9d1f0296f3a016727193d2b45704e0debc3b8048fe0715f8bb1e91550d321872,polymarket,75.0,1.2856214107737505,0.6478782373054858,-90.14342103,182.28684205477128,184.6043301683076,0.1102014123415397,0.3332643791681185,-65.30804836,140.61609671247191,152.20353728015343,1.120286512169166,0.1010275904188801,-20.45682898,56.91365795708679,75.45356286537728,1.311656365256421,89.70243875538512,2.537862742046301e-19,True,True,True,True,0.0
0xa0811c97f529d627b7774a5b188e605736b745a1f892c39e16c5a022fdb84b8b,polymarket,154.0,1.2134454770821324,9.25963873248634,-389.8927417,781.7854834825445,784.8224360849581,0.5826528150295361,8.458933577681558,-382.9298546,775.8597091412583,791.0444721533265,2331.399265630494,7.419536386535309,-372.8366885,761.6733770804472,785.9689978997562,2335.663053680368,20.1863320608112,0.000155298,True,False,True,True,0.0309278350515463
