ticker,platform,kappa,theta,xi,rho,v0,lambda_j,mu_j,sigma_j,feller_satisfied,converged,mse,log_likelihood,log_likelihood_heston,lr_statistic,p_value_jump_significance,n_obs
0x2d606a51f902a4d934a4b810dd77cb28bb8e40268f42354057b5a47f9799efad,polymarket,0.01,3.9049653714412953,0.01,0.0,1e-06,36.04164489077223,2.252762544682477,1.2607627424056198,True,True,1752.7028400737713,-1025.52681735674,-1172.3389487852198,293.62426285695983,2.385662890192763e-63,199
0x2edbdabce90c3dfa1125836396c80762fa3bf09eaf5e611e4a2fd4a13ce81c25,polymarket,0.01,10.0,0.4254937723476898,-0.3,5.0,100.0,5.0,3.0,True,True,27262.67635821157,-326.7654398407858,-211.10412702051687,0.0,1.0,21
0x3120827dc12167d09fd9f08233e2b540054a2ed90aad65c023bc1da9d38b29d9,polymarket,0.01,10.0,0.01,-0.3,0.7101557358328622,99.97349565405632,0.0,1.862354975093363,True,True,1187.0399622644895,-1294.180914081457,-1782.4166788471625,976.4715295314109,2.286206348307829e-211,261
0x34b8fa269775d034f3d98b6848e0a7c5212efcaa0c98e6f8fb54c5d6f72b3705,polymarket,0.01,9.99449739566958,0.01,-0.3,1e-06,99.97136000065929,0.0,1.6780760295573998,True,True,1677.9786302967825,-1375.2727376198166,-1730.7894440060593,711.0334127724855,8.50258081122492e-154,268
0x373f49179e6675ebf892ab562da3ca812280705e530dab69a30712ee13b22b49,polymarket,0.01,9.936508562843775,0.01,-0.3,1e-06,99.80150173296852,1.5891366718271962,1.3440876167482878,True,True,1959.6780603411405,-989.7510478539867,-1242.623897059033,505.7456984100925,2.7131844288772816e-109,190
0x39739e38954e57138565a5b3acf5209c902b495a5c89b09b8b39812768cb3a59,polymarket,0.01,9.929730858922783,0.01,-0.5,1e-06,99.85594125446647,0.0,2.1787735475973977,True,True,1530.7847276982795,-956.1223014896804,-1247.937032615661,583.6294622519615,3.56634557115766e-126,188
0x3aacd25625f8dbf5bc0407d622067c2eb5706937a25cdba448f12aea6f38a2c3,polymarket,0.01,10.0,0.43123285532721733,-0.3,5.0,100.0,5.0,3.0,True,True,8619.382438876688,-195.9987524014261,-215.0995893719273,38.20167394100241,2.561801856263506e-08,22
0x3ac961dca3c4f0fc34bf94c661962012ab5e8bcdcadfc99affa06eddde00b29f,polymarket,1.1043205193292243,1.0375612907624523,0.5,-0.3,2.045048075770204,2.9290599222592664,-2.130333963376924,1.2781923102802364,True,True,7.939402016263807,-746.2766839549055,-760.7320860532993,28.910804196787694,2.3381858166767888e-06,304
0x3faf3dbf90050968deafdc980118910ebe8d2410a573bc265ba81fc4658c793b,polymarket,0.01,5.501226230181294,0.3314698800575529,-0.3,5.0,60.112360069993414,1.622746070245879,1.354884336353498,True,True,773.6775009544325,-920.4412533042633,-1239.9328042576258,638.9831019067249,3.564061841678631e-138,194
0x4057c2528a3815d460f0c5889f52a914745b23400c4548804afee8f9c4a56ec3,polymarket,25.073659085833558,0.020194477465736334,0.9962283874499016,0.0,0.021133743967234025,5.136248725109767,-1.7219404664396498,0.10433128261197303,True,True,0.08269656117368689,-33.4940812454197,-41.42098806100419,15.853813631168975,0.0012149839030175093,194
0x40bbdd26dc08406eedcb913efee7f7faddf50e16fc21caedb4972d57fd71e0d1,polymarket,0.01,3.320333532026116,0.01,0.0,1e-06,26.83656357898043,3.2161925146409525,0.0010002120189698017,True,True,3172.755656897084,-1433.4315911346698,-1661.3774025248872,455.8916227804348,1.7246950606064554e-98,263
