clip,clip_lo,clip_hi,sigma_v,sigma_J,kappa,theta,lambda,j_stat,j_pvalue,n_real
"[0.02,0.98]",0.020000,0.980000,0.117783,1.376195,0.011005,0.027431,0.018040,463708.512659,0.000000,4102
"[0.01,0.99]",0.010000,0.990000,0.060990,1.108515,0.001910,0.032829,0.017552,144468.507637,0.000000,4102
