timestamp,open,high,low,close,volume,trade_count
2023-05-04 00:00:54+00:00,0.85,0.85,0.85,0.85,0.0,0
2023-05-05 00:00:04+00:00,0.845,0.845,0.845,0.845,0.0,0
2023-05-06 00:00:12+00:00,0.81,0.81,0.81,0.81,0.0,0
2023-05-07 00:00:24+00:00,0.81,0.81,0.81,0.81,0.0,0
2023-05-08 00:00:41+00:00,0.81,0.81,0.81,0.81,0.0,0
2023-05-09 00:00:08+00:00,0.82,0.82,0.82,0.82,0.0,0
2023-05-10 00:00:45+00:00,0.805,0.805,0.805,0.805,0.0,0
2023-05-11 00:00:36+00:00,0.855,0.855,0.855,0.855,0.0,0
2023-05-12 00:00:54+00:00,0.865,0.865,0.865,0.865,0.0,0
2023-05-13 00:00:42+00:00,0.825,0.825,0.825,0.825,0.0,0
2023-05-15 00:00:02+00:00,0.825,0.825,0.825,0.825,0.0,0
2023-05-16 00:00:23+00:00,0.825,0.825,0.825,0.825,0.0,0
2023-05-17 00:00:23+00:00,0.805,0.805,0.805,0.805,0.0,0
2023-05-18 00:00:02+00:00,0.805,0.805,0.805,0.805,0.0,0
2023-05-19 00:00:02+00:00,0.685,0.685,0.685,0.685,0.0,0
2023-05-20 00:00:02+00:00,0.765,0.765,0.765,0.765,0.0,0
2023-05-21 00:00:02+00:00,0.775,0.775,0.775,0.775,0.0,0
2023-05-22 00:00:02+00:00,0.805,0.805,0.805,0.805,0.0,0
2023-05-23 00:00:02+00:00,0.805,0.805,0.805,0.805,0.0,0
2023-05-24 00:00:02+00:00,0.785,0.785,0.785,0.785,0.0,0
2023-05-25 00:00:02+00:00,0.705,0.705,0.705,0.705,0.0,0
2023-05-26 00:00:02+00:00,0.4,0.4,0.4,0.4,0.0,0
2023-05-27 00:00:02+00:00,0.385,0.385,0.385,0.385,0.0,0
2023-05-28 00:00:02+00:00,0.33,0.33,0.33,0.33,0.0,0
2023-05-29 00:00:02+00:00,0.385,0.385,0.385,0.385,0.0,0
2023-05-30 00:00:02+00:00,0.37,0.37,0.37,0.37,0.0,0
2023-05-31 00:00:02+00:00,0.36,0.36,0.36,0.36,0.0,0
2023-06-01 00:00:02+00:00,0.71,0.71,0.71,0.71,0.0,0
2023-06-02 00:00:02+00:00,0.73,0.73,0.73,0.73,0.0,0
2023-06-03 00:00:02+00:00,0.81,0.81,0.81,0.81,0.0,0
2023-06-04 00:00:02+00:00,0.81,0.81,0.81,0.81,0.0,0
2023-06-05 00:00:02+00:00,0.805,0.805,0.805,0.805,0.0,0
2023-06-06 00:00:02+00:00,0.8,0.8,0.8,0.8,0.0,0
2023-06-07 00:00:02+00:00,0.815,0.815,0.815,0.815,0.0,0
2023-06-08 00:00:02+00:00,0.795,0.795,0.795,0.795,0.0,0
2023-06-09 00:00:02+00:00,0.79,0.79,0.79,0.79,0.0,0
2023-06-10 00:00:02+00:00,0.785,0.785,0.785,0.785,0.0,0
2023-06-11 00:00:02+00:00,0.81,0.81,0.81,0.81,0.0,0
2023-06-12 00:00:02+00:00,0.815,0.815,0.815,0.815,0.0,0
2023-06-13 00:00:02+00:00,0.795,0.795,0.795,0.795,0.0,0
2023-06-14 00:00:02+00:00,0.94,0.94,0.94,0.94,0.0,0
