timestamp,open,high,low,close,volume,trade_count
2024-02-01 00:00:02+00:00,0.5,0.5,0.5,0.5,0.0,0
2024-02-02 00:00:02+00:00,0.9695,0.9695,0.9695,0.9695,0.0,0
2024-02-03 00:00:02+00:00,0.895,0.895,0.895,0.895,0.0,0
2024-02-04 00:00:03+00:00,0.8905,0.8905,0.8905,0.8905,0.0,0
2024-02-05 00:00:02+00:00,0.887,0.887,0.887,0.887,0.0,0
2024-02-06 00:00:02+00:00,0.871,0.871,0.871,0.871,0.0,0
2024-02-07 00:00:02+00:00,0.867,0.867,0.867,0.867,0.0,0
2024-02-08 00:00:02+00:00,0.8595,0.8595,0.8595,0.8595,0.0,0
2024-02-09 00:00:02+00:00,0.8635,0.8635,0.8635,0.8635,0.0,0
2024-02-10 00:00:03+00:00,0.8635,0.8635,0.8635,0.8635,0.0,0
2024-02-11 00:00:03+00:00,0.862,0.862,0.862,0.862,0.0,0
2024-02-12 00:00:03+00:00,0.862,0.862,0.862,0.862,0.0,0
2024-02-13 00:00:02+00:00,0.862,0.862,0.862,0.862,0.0,0
2024-02-14 00:00:03+00:00,0.68,0.68,0.68,0.68,0.0,0
2024-02-15 00:00:03+00:00,0.68,0.68,0.68,0.68,0.0,0
2024-02-16 00:00:03+00:00,0.675,0.675,0.675,0.675,0.0,0
2024-02-17 00:00:02+00:00,0.64,0.64,0.64,0.64,0.0,0
2024-02-18 00:00:02+00:00,0.6575,0.6575,0.6575,0.6575,0.0,0
2024-02-19 00:00:02+00:00,0.6565,0.6565,0.6565,0.6565,0.0,0
2024-02-20 00:00:02+00:00,0.656,0.656,0.656,0.656,0.0,0
2024-02-21 00:00:03+00:00,0.6565,0.6565,0.6565,0.6565,0.0,0
2024-02-22 00:00:02+00:00,0.658,0.658,0.658,0.658,0.0,0
2024-02-23 00:00:02+00:00,0.705,0.705,0.705,0.705,0.0,0
2024-02-24 00:00:02+00:00,0.72,0.72,0.72,0.72,0.0,0
2024-02-25 00:00:02+00:00,0.704,0.704,0.704,0.704,0.0,0
2024-02-26 00:00:02+00:00,0.7135,0.7135,0.7135,0.7135,0.0,0
2024-02-27 00:00:02+00:00,0.703,0.703,0.703,0.703,0.0,0
2024-02-28 00:00:03+00:00,0.657,0.657,0.657,0.657,0.0,0
2024-02-29 00:00:02+00:00,0.648,0.648,0.648,0.648,0.0,0
2024-03-01 00:00:02+00:00,0.683,0.683,0.683,0.683,0.0,0
2024-03-02 00:00:03+00:00,0.675,0.675,0.675,0.675,0.0,0
2024-03-03 00:00:03+00:00,0.685,0.685,0.685,0.685,0.0,0
2024-03-04 00:00:03+00:00,0.6775,0.6775,0.6775,0.6775,0.0,0
2024-03-05 00:00:03+00:00,0.6655,0.6655,0.6655,0.6655,0.0,0
2024-03-06 00:00:03+00:00,0.62,0.62,0.62,0.62,0.0,0
2024-03-07 00:00:02+00:00,0.6595,0.6595,0.6595,0.6595,0.0,0
2024-03-08 00:00:02+00:00,0.655,0.655,0.655,0.655,0.0,0
2024-03-09 00:00:03+00:00,0.715,0.715,0.715,0.715,0.0,0
2024-03-10 00:00:02+00:00,0.7225,0.7225,0.7225,0.7225,0.0,0
2024-03-11 00:00:02+00:00,0.725,0.725,0.725,0.725,0.0,0
2024-03-12 00:00:02+00:00,0.714,0.714,0.714,0.714,0.0,0
2024-03-13 00:00:03+00:00,0.6645,0.6645,0.6645,0.6645,0.0,0
2024-03-14 00:00:03+00:00,0.664,0.664,0.664,0.664,0.0,0
2024-03-15 00:00:03+00:00,0.6,0.6,0.6,0.6,0.0,0
2024-03-16 00:00:02+00:00,0.545,0.545,0.545,0.545,0.0,0
2024-03-17 00:00:03+00:00,0.555,0.555,0.555,0.555,0.0,0
2024-03-18 00:00:03+00:00,0.5225,0.5225,0.5225,0.5225,0.0,0
2024-03-19 00:00:02+00:00,0.5015,0.5015,0.5015,0.5015,0.0,0
2024-03-20 00:00:03+00:00,0.5255,0.5255,0.5255,0.5255,0.0,0
2024-03-21 00:00:03+00:00,0.6595,0.6595,0.6595,0.6595,0.0,0
2024-03-22 00:00:02+00:00,0.6575,0.6575,0.6575,0.6575,0.0,0
2024-03-23 00:00:03+00:00,0.6755,0.6755,0.6755,0.6755,0.0,0
2024-03-24 00:00:03+00:00,0.6755,0.6755,0.6755,0.6755,0.0,0
2024-03-25 00:00:03+00:00,0.665,0.665,0.665,0.665,0.0,0
2024-03-26 00:00:02+00:00,0.664,0.664,0.664,0.664,0.0,0
2024-03-27 00:00:03+00:00,0.655,0.655,0.655,0.655,0.0,0
2024-03-28 00:00:03+00:00,0.615,0.615,0.615,0.615,0.0,0
2024-03-29 00:00:02+00:00,0.6065,0.6065,0.6065,0.6065,0.0,0
2024-03-30 00:00:02+00:00,0.5905,0.5905,0.5905,0.5905,0.0,0
2024-03-31 00:00:03+00:00,0.5795,0.5795,0.5795,0.5795,0.0,0
2024-04-01 00:00:02+00:00,0.577,0.577,0.577,0.577,0.0,0
2024-04-02 00:00:03+00:00,0.52,0.52,0.52,0.52,0.0,0
2024-04-03 00:00:03+00:00,0.5155,0.5155,0.5155,0.5155,0.0,0
2024-04-04 00:00:03+00:00,0.52,0.52,0.52,0.52,0.0,0
2024-04-05 00:00:03+00:00,0.575,0.575,0.575,0.575,0.0,0
2024-04-06 00:00:03+00:00,0.425,0.425,0.425,0.425,0.0,0
2024-04-07 00:00:02+00:00,0.41,0.41,0.41,0.41,0.0,0
2024-04-08 00:00:03+00:00,0.4205,0.4205,0.4205,0.4205,0.0,0
2024-04-09 00:00:03+00:00,0.4195,0.4195,0.4195,0.4195,0.0,0
2024-04-10 00:00:03+00:00,0.4205,0.4205,0.4205,0.4205,0.0,0
2024-04-11 00:00:03+00:00,0.14,0.14,0.14,0.14,0.0,0
2024-04-12 00:00:03+00:00,0.165,0.165,0.165,0.165,0.0,0
2024-04-13 00:00:02+00:00,0.19,0.19,0.19,0.19,0.0,0
2024-04-14 00:00:03+00:00,0.1935,0.1935,0.1935,0.1935,0.0,0
2024-04-15 00:00:03+00:00,0.1725,0.1725,0.1725,0.1725,0.0,0
2024-04-16 00:00:03+00:00,0.172,0.172,0.172,0.172,0.0,0
2024-04-17 00:00:03+00:00,0.1345,0.1345,0.1345,0.1345,0.0,0
2024-04-18 00:00:03+00:00,0.155,0.155,0.155,0.155,0.0,0
2024-04-19 00:00:03+00:00,0.14,0.14,0.14,0.14,0.0,0
2024-04-20 00:00:02+00:00,0.14,0.14,0.14,0.14,0.0,0
2024-04-21 00:00:03+00:00,0.15,0.15,0.15,0.15,0.0,0
2024-04-22 00:00:03+00:00,0.143,0.143,0.143,0.143,0.0,0
2024-04-23 00:00:02+00:00,0.1425,0.1425,0.1425,0.1425,0.0,0
2024-04-24 00:00:03+00:00,0.148,0.148,0.148,0.148,0.0,0
2024-04-25 00:00:03+00:00,0.1475,0.1475,0.1475,0.1475,0.0,0
2024-04-26 00:00:02+00:00,0.1005,0.1005,0.1005,0.1005,0.0,0
2024-04-27 00:00:03+00:00,0.1,0.1,0.1,0.1,0.0,0
2024-04-28 00:00:03+00:00,0.0995,0.0995,0.0995,0.0995,0.0,0
2024-04-29 00:00:03+00:00,0.095,0.095,0.095,0.095,0.0,0
2024-04-30 00:00:04+00:00,0.0925,0.0925,0.0925,0.0925,0.0,0
2024-05-01 00:00:03+00:00,0.083,0.083,0.083,0.083,0.0,0
2024-05-02 00:00:03+00:00,0.04,0.04,0.04,0.04,0.0,0
2024-05-03 00:00:03+00:00,0.057,0.057,0.057,0.057,0.0,0
2024-05-04 00:00:03+00:00,0.069,0.069,0.069,0.069,0.0,0
2024-05-05 00:00:03+00:00,0.075,0.075,0.075,0.075,0.0,0
2024-05-06 00:00:02+00:00,0.0595,0.0595,0.0595,0.0595,0.0,0
2024-05-07 00:00:02+00:00,0.0645,0.0645,0.0645,0.0645,0.0,0
2024-05-08 00:00:03+00:00,0.0625,0.0625,0.0625,0.0625,0.0,0
2024-05-09 00:00:03+00:00,0.055,0.055,0.055,0.055,0.0,0
2024-05-10 00:00:03+00:00,0.0555,0.0555,0.0555,0.0555,0.0,0
2024-05-11 00:00:04+00:00,0.054,0.054,0.054,0.054,0.0,0
2024-05-12 00:00:03+00:00,0.0545,0.0545,0.0545,0.0545,0.0,0
2024-05-13 00:00:04+00:00,0.05,0.05,0.05,0.05,0.0,0
2024-05-14 00:00:03+00:00,0.048,0.048,0.048,0.048,0.0,0
2024-05-15 00:00:04+00:00,0.042,0.042,0.042,0.042,0.0,0
