timestamp,open,high,low,close,volume,trade_count
2024-03-09 00:00:03+00:00,0.825,0.825,0.825,0.825,0.0,0
2024-03-10 00:00:02+00:00,0.845,0.845,0.845,0.845,0.0,0
2024-03-11 00:00:02+00:00,0.8445,0.8445,0.8445,0.8445,0.0,0
2024-03-12 00:00:02+00:00,0.905,0.905,0.905,0.905,0.0,0
2024-03-13 00:00:03+00:00,0.915,0.915,0.915,0.915,0.0,0
2024-03-14 00:00:03+00:00,0.9155,0.9155,0.9155,0.9155,0.0,0
2024-03-15 00:00:03+00:00,0.8875,0.8875,0.8875,0.8875,0.0,0
2024-03-16 00:00:02+00:00,0.885,0.885,0.885,0.885,0.0,0
2024-03-17 00:00:03+00:00,0.8755,0.8755,0.8755,0.8755,0.0,0
2024-03-18 00:00:03+00:00,0.8605,0.8605,0.8605,0.8605,0.0,0
2024-03-19 00:00:02+00:00,0.877,0.877,0.877,0.877,0.0,0
2024-03-20 00:00:03+00:00,0.873,0.873,0.873,0.873,0.0,0
2024-03-21 00:00:03+00:00,0.869,0.869,0.869,0.869,0.0,0
2024-03-22 00:00:02+00:00,0.873,0.873,0.873,0.873,0.0,0
2024-03-23 00:00:03+00:00,0.8795,0.8795,0.8795,0.8795,0.0,0
2024-03-24 00:00:03+00:00,0.879,0.879,0.879,0.879,0.0,0
2024-03-25 00:00:03+00:00,0.876,0.876,0.876,0.876,0.0,0
2024-03-26 00:00:02+00:00,0.87,0.87,0.87,0.87,0.0,0
2024-03-27 00:00:03+00:00,0.8685,0.8685,0.8685,0.8685,0.0,0
2024-03-28 00:00:03+00:00,0.871,0.871,0.871,0.871,0.0,0
2024-03-29 00:00:02+00:00,0.871,0.871,0.871,0.871,0.0,0
2024-03-30 00:00:02+00:00,0.8705,0.8705,0.8705,0.8705,0.0,0
2024-03-31 00:00:03+00:00,0.8705,0.8705,0.8705,0.8705,0.0,0
2024-04-01 00:00:02+00:00,0.875,0.875,0.875,0.875,0.0,0
2024-04-02 00:00:03+00:00,0.875,0.875,0.875,0.875,0.0,0
2024-04-03 00:00:03+00:00,0.816,0.816,0.816,0.816,0.0,0
2024-04-04 00:00:03+00:00,0.8175,0.8175,0.8175,0.8175,0.0,0
2024-04-05 00:00:03+00:00,0.839,0.839,0.839,0.839,0.0,0
2024-04-06 00:00:03+00:00,0.785,0.785,0.785,0.785,0.0,0
2024-04-07 00:00:02+00:00,0.8,0.8,0.8,0.8,0.0,0
2024-04-08 00:00:03+00:00,0.8,0.8,0.8,0.8,0.0,0
2024-04-09 00:00:03+00:00,0.785,0.785,0.785,0.785,0.0,0
2024-04-10 00:00:03+00:00,0.7555,0.7555,0.7555,0.7555,0.0,0
2024-04-11 00:00:03+00:00,0.6,0.6,0.6,0.6,0.0,0
2024-04-12 00:00:03+00:00,0.585,0.585,0.585,0.585,0.0,0
2024-04-13 00:00:02+00:00,0.585,0.585,0.585,0.585,0.0,0
2024-04-14 00:00:03+00:00,0.5695,0.5695,0.5695,0.5695,0.0,0
2024-04-15 00:00:03+00:00,0.565,0.565,0.565,0.565,0.0,0
2024-04-16 00:00:03+00:00,0.5655,0.5655,0.5655,0.5655,0.0,0
2024-04-17 00:00:03+00:00,0.48,0.48,0.48,0.48,0.0,0
2024-04-18 00:00:03+00:00,0.48,0.48,0.48,0.48,0.0,0
2024-04-19 00:00:03+00:00,0.5045,0.5045,0.5045,0.5045,0.0,0
2024-04-20 00:00:02+00:00,0.4915,0.4915,0.4915,0.4915,0.0,0
2024-04-21 00:00:03+00:00,0.455,0.455,0.455,0.455,0.0,0
2024-04-22 00:00:03+00:00,0.451,0.451,0.451,0.451,0.0,0
2024-04-23 00:00:02+00:00,0.4345,0.4345,0.4345,0.4345,0.0,0
2024-04-24 00:00:03+00:00,0.4345,0.4345,0.4345,0.4345,0.0,0
2024-04-25 00:00:03+00:00,0.395,0.395,0.395,0.395,0.0,0
2024-04-26 00:00:02+00:00,0.4,0.4,0.4,0.4,0.0,0
2024-04-27 00:00:03+00:00,0.39,0.39,0.39,0.39,0.0,0
2024-04-28 00:00:03+00:00,0.38,0.38,0.38,0.38,0.0,0
2024-04-29 00:00:03+00:00,0.38,0.38,0.38,0.38,0.0,0
