timestamp,open,high,low,close,volume,trade_count
2023-05-04 00:00:54+00:00,0.5,0.5,0.5,0.5,0.0,0
2023-05-05 00:00:04+00:00,0.15,0.15,0.15,0.15,0.0,0
2023-05-06 00:00:12+00:00,0.535,0.535,0.535,0.535,0.0,0
2023-05-07 00:00:24+00:00,0.17,0.17,0.17,0.17,0.0,0
2023-05-08 00:00:41+00:00,0.175,0.175,0.175,0.175,0.0,0
2023-05-09 00:00:08+00:00,0.15,0.15,0.15,0.15,0.0,0
2023-05-10 00:00:45+00:00,0.17,0.17,0.17,0.17,0.0,0
2023-05-11 00:00:36+00:00,0.135,0.135,0.135,0.135,0.0,0
2023-05-12 00:00:54+00:00,0.12,0.12,0.12,0.12,0.0,0
2023-05-13 00:00:42+00:00,0.185,0.185,0.185,0.185,0.0,0
2023-05-15 00:00:02+00:00,0.175,0.175,0.175,0.175,0.0,0
2023-05-16 00:00:23+00:00,0.18,0.18,0.18,0.18,0.0,0
2023-05-17 00:00:23+00:00,0.18,0.18,0.18,0.18,0.0,0
2023-05-18 00:00:02+00:00,0.185,0.185,0.185,0.185,0.0,0
2023-05-19 00:00:02+00:00,0.32,0.32,0.32,0.32,0.0,0
2023-05-20 00:00:02+00:00,0.225,0.225,0.225,0.225,0.0,0
2023-05-21 00:00:02+00:00,0.225,0.225,0.225,0.225,0.0,0
2023-05-22 00:00:02+00:00,0.2,0.2,0.2,0.2,0.0,0
2023-05-23 00:00:02+00:00,0.185,0.185,0.185,0.185,0.0,0
2023-05-24 00:00:02+00:00,0.2,0.2,0.2,0.2,0.0,0
2023-05-25 00:00:02+00:00,0.25,0.25,0.25,0.25,0.0,0
2023-05-26 00:00:02+00:00,0.575,0.575,0.575,0.575,0.0,0
2023-05-27 00:00:02+00:00,0.61,0.61,0.61,0.61,0.0,0
2023-05-28 00:00:02+00:00,0.63,0.63,0.63,0.63,0.0,0
2023-05-29 00:00:02+00:00,0.44,0.44,0.44,0.44,0.0,0
2023-05-30 00:00:02+00:00,0.59,0.59,0.59,0.59,0.0,0
2023-05-31 00:00:02+00:00,0.625,0.625,0.625,0.625,0.0,0
2023-06-01 00:00:02+00:00,0.29,0.29,0.29,0.29,0.0,0
2023-06-02 00:00:02+00:00,0.275,0.275,0.275,0.275,0.0,0
2023-06-03 00:00:02+00:00,0.19,0.19,0.19,0.19,0.0,0
2023-06-04 00:00:02+00:00,0.195,0.195,0.195,0.195,0.0,0
2023-06-05 00:00:02+00:00,0.225,0.225,0.225,0.225,0.0,0
2023-06-06 00:00:02+00:00,0.2,0.2,0.2,0.2,0.0,0
2023-06-07 00:00:02+00:00,0.19,0.19,0.19,0.19,0.0,0
2023-06-08 00:00:02+00:00,0.215,0.215,0.215,0.215,0.0,0
2023-06-09 00:00:02+00:00,0.21,0.21,0.21,0.21,0.0,0
2023-06-10 00:00:02+00:00,0.205,0.205,0.205,0.205,0.0,0
2023-06-11 00:00:02+00:00,0.205,0.205,0.205,0.205,0.0,0
2023-06-12 00:00:02+00:00,0.19,0.19,0.19,0.19,0.0,0
2023-06-13 00:00:02+00:00,0.21,0.21,0.21,0.21,0.0,0
2023-06-14 00:00:02+00:00,0.06,0.06,0.06,0.06,0.0,0
