conditionId,question,category,open_time,close_time,duration_days,trade_count,is_fed,is_political,has_uma_dispute
0x67b162be33b7a37921d32f8954e4ae8f511b349d28c973f8a860653e0f6f6b90,Trump and Biden debate before Election?,,2024-01-24 00:00:00+00:00,2024-11-05 00:00:00+00:00,286,586007,FALSE,TRUE,TRUE
0x1bd1cfc97238f43b2b054c8b36c213b2288b4b26bfb36872ecffa31e4269ba12,Martha Pollack out as Cornell President before March?,,2024-01-24 00:00:00+00:00,2024-02-29 00:00:00+00:00,36,7371,FALSE,TRUE,TRUE
0x0040859607e99566b86ffbd0c1c40aadb5c6578a956ccef08638b338bfbbf4c9,Minouche Shafik out as Columbia President before March?,,2024-01-24 00:00:00+00:00,2024-02-29 00:00:00+00:00,36,2046,FALSE,TRUE,TRUE
0x6a0bf25cacee15e507476f9bd79acd63a149a5553bd2acbd82972d30ef435366,Will Trump win the South Carolina Primary by between 10-20% of the vote?,,2024-01-25 00:00:00+00:00,2024-02-22 00:00:00+00:00,28,843811,FALSE,TRUE,TRUE
0x8041ffebaa0dcd3e1d192c5aa6185cef14ba9963fff52d0e7f296153cf144539,Will Trump win the South Carolina Primary by between 20-30% of the vote?,,2024-01-25 00:00:00+00:00,2024-02-22 00:00:00+00:00,28,420917,FALSE,TRUE,TRUE
0x315804188956a5ece2ae6e7ebfcc6fdb3ef9e00c4dbdc8af41f705009c6baf07,Will Trump win the South Carolina Primary by between 30-40% of the vote?,,2024-01-25 00:00:00+00:00,2024-02-22 00:00:00+00:00,28,265205,FALSE,TRUE,TRUE
0x4774bdc661b14290b537019240c9d1c3b859126fe4e159636b8f461e0dcf78e0,Will Trump win the South Carolina Primary by between 40-50% of the vote?,,2024-01-25 00:00:00+00:00,2024-02-22 00:00:00+00:00,28,217925,FALSE,TRUE,TRUE
0x25ee65945ec1880c6c62eea7bcd33512d6de23f05ec9a555db332a931a74d22d,Will Trump win the South Carolina Primary by more than 50% of the vote?,,2024-01-25 00:00:00+00:00,2024-02-22 00:00:00+00:00,28,487250,FALSE,TRUE,TRUE
0x9d8a92fee4fd3998176f1d5f90c072d614345c2082a40169d61abf05cb7a9b34,Will Trump win the South Carolina Primary by less than 10% of the vote?,,2024-01-25 00:00:00+00:00,2024-02-22 00:00:00+00:00,28,1109418,FALSE,TRUE,TRUE
0x590559163a05c7e4d56713d51639e94a0c6ee906aee788098cd5487d8bd1836d,Will Sarah Huckabee Sanders win the 2024 Republican VP nomination?,,2024-01-18 00:00:00+00:00,2024-09-05 00:00:00+00:00,231,3213095,FALSE,TRUE,TRUE
